Sept. 7, 2022   15:39:14
Linear Sweep Voltammetry
File: f:\2-Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1
Comp R (ohm) = 1.2


Potential/V, Current/A

0.777, 6.913e-2
0.778, 6.991e-2
0.779, 7.074e-2
0.780, 7.162e-2
0.781, 7.248e-2
0.782, 7.342e-2
0.783, 7.436e-2
0.784, 7.545e-2
0.785, 7.644e-2
0.786, 7.737e-2
0.787, 7.820e-2
0.788, 7.898e-2
0.789, 7.975e-2
0.790, 8.054e-2
0.791, 8.110e-2
0.792, 8.178e-2
0.793, 8.253e-2
0.794, 8.336e-2
0.795, 8.422e-2
0.796, 8.503e-2
0.797, 8.578e-2
0.798, 8.673e-2
0.799, 8.791e-2
